
 MoonLoader v.027.0-preview3 loaded.
 Developers: FYP, hnnssy, EvgeN 1137

 Copyright (c) 2016, BlastHack Team
 http://blast.hk/moonloader/

[16:33:45.190023] (debug)	Module handle: 0x55240000
[16:33:45.191022] (info)	Working directory: D:\modpack_iarna_2024\moonloader
[16:33:45.191022] (debug)	FP Control: 0x0009001F
[16:33:45.191022] (debug)	Windows: 10.0.19045 2
[16:33:45.191022] (debug)	Game: GTA SA 1.0 US 'HoodLum'
[16:33:45.191022] (system)	Installing pre-game hooks...
[16:33:45.192022] (system)	Hooks installed.
[16:33:46.836140] (debug)	Opcode handler table: 0x6595e9b8
[16:33:46.836140] (debug)	LUA_PATH = D:\modpack_iarna_2024\moonloader\libstd\?.lua;D:\modpack_iarna_2024\moonloader\libstd\?\init.lua;D:\modpack_iarna_2024\moonloader\lib\?.lua;D:\modpack_iarna_2024\moonloader\lib\?.luac;D:\modpack_iarna_2024\moonloader\lib\?\init.lua;D:\modpack_iarna_2024\moonloader\lib\?\init.luac
[16:33:46.836140] (debug)	LUA_CPATH = D:\modpack_iarna_2024\moonloader\libstd\?.dll;D:\modpack_iarna_2024\moonloader\lib\?.dll
[16:33:46.843141] (system)	Loading script "D:\modpack_iarna_2024\moonloader\HassleHUD.luac"...	(id:1)
[16:33:46.862142] (system)	HassleHUD: Loaded successfully.
[16:33:57.641874] (system)	Installing post-load hooks...
[16:33:57.641874] (system)	Hooks installed.
[16:36:53.468678] (system)	Unloading...
[16:36:53.468678] (system)	HassleHUD: Script terminated. (id:1)
[16:36:53.485681] (system)	Session terminated.
